id_coupure,date_publication,date_debut,heure_debut,date_fin,heure_fin,duree_minutes,annee,mois,jour_semaine,periode_journee,region,province,ville,zone,latitude,longitude,type_coupure,cause,statut,source_name,source_type,url_source,niveau_confiance,niveau_impact,temperature_max,precipitation,irradiation_solaire,duree_heures,coupure_longue,debut_datetime,heure_num,jour_num,weekend,classe_duree,risque_zone
12,2023-08-27,2023-08-28,20:30,2023-08-29,00:30,240,2023,8,Monday,soir,Sud-Ouest,,Gaoua,Centre-Ville,10.328,-3.178,prévue,travaux entretien réseau,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,34.6,0.0,4.93,4.0,True,2023-08-28 20:30:00,20,0,False,moyenne,21
13,2025-01-02,2025-01-04,07:00,2025-01-04,11:00,240,2025,1,Saturday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,37.7,2.7,4.96,4.0,True,2025-01-04 07:00:00,7,5,True,moyenne,56
14,2026-03-02,2026-03-02,20:00,2026-03-02,21:00,60,2026,3,Monday,soir,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,raccordement nouveaux postes,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,faible,31.5,5.6,6.14,1.0,False,2026-03-02 20:00:00,20,0,False,courte,56
15,2022-10-30,2022-11-01,06:00,2022-11-01,12:00,360,2022,11,Tuesday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,perturbation,orage ou intempéries,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,36.7,1.5,5.88,6.0,True,2022-11-01 06:00:00,6,1,False,longue,24
16,2025-09-11,2025-09-12,18:00,2025-09-12,22:00,240,2025,9,Friday,soir,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,prévue,orage ou intempéries,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,33.6,1.1,4.96,4.0,True,2025-09-12 18:00:00,18,4,False,moyenne,31
17,2020-09-21,2020-09-24,07:00,2020-09-24,08:30,90,2020,9,Thursday,matin,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,imprévue,travaux entretien réseau,terminée,Lefaso.net,media,https://lefaso.net/,0.8,faible,38.5,0.6,5.68,1.5,False,2020-09-24 07:00:00,7,3,False,moyenne,25
18,2024-06-30,2024-07-02,06:00,2024-07-02,12:00,360,2024,7,Tuesday,matin,Centre,Kadiogo,Ouagadougou,Gounghin,12.357,-1.543,perturbation,orage ou intempéries,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,34.7,0.0,5.48,6.0,True,2024-07-02 06:00:00,6,1,False,longue,9
19,2022-08-26,2022-08-26,12:30,2022-08-26,15:30,180,2022,8,Friday,après-midi,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,prévue,maintenance programmée,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,35.9,0.2,6.29,3.0,False,2022-08-26 12:30:00,12,4,False,moyenne,23
20,2022-12-09,2022-12-09,16:30,2022-12-09,20:30,240,2022,12,Friday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,prévue,maintenance programmée,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,33.4,0.0,5.4,4.0,True,2022-12-09 16:30:00,16,4,False,moyenne,19
21,2021-08-15,2021-08-18,08:00,2021-08-18,12:00,240,2021,8,Wednesday,matin,Centre,Kadiogo,Ouagadougou,Karpala,12.317,-1.493,perturbation,surcharge du réseau,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,42.8,3.3,5.5,4.0,True,2021-08-18 08:00:00,8,2,False,moyenne,11
22,2023-10-03,2023-10-05,10:00,2023-10-05,11:00,60,2023,10,Thursday,matin,Centre-Ouest,,Koudougou,Secteur 1,12.252,-2.363,travaux,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,41.6,0.1,5.67,1.0,False,2023-10-05 10:00:00,10,3,False,courte,56
23,2022-08-31,2022-09-03,14:00,2022-09-03,20:00,360,2022,9,Saturday,après-midi,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,imprévue,déficit de production,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,32.9,2.9,5.13,6.0,True,2022-09-03 14:00:00,14,5,True,longue,31
24,2022-02-10,2022-02-10,12:00,2022-02-10,13:00,60,2022,2,Thursday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Sarfala,11.177,-4.31,prévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,38.8,2.8,5.05,1.0,False,2022-02-10 12:00:00,12,3,False,courte,16
25,2020-02-01,2020-02-01,07:00,2020-02-01,10:00,180,2020,2,Saturday,matin,Centre-Nord,,Kaya,Secteur 4,13.091,-1.083,prévue,maintenance programmée,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,moyen,37.0,2.9,6.43,3.0,False,2020-02-01 07:00:00,7,5,True,moyenne,17
26,2023-06-15,2023-06-18,14:00,2023-06-18,17:00,180,2023,6,Sunday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,perturbation,travaux entretien réseau,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,38.2,0.0,4.67,3.0,False,2023-06-18 14:00:00,14,6,True,moyenne,19
27,2024-11-16,2024-11-19,08:00,2024-11-19,16:00,480,2024,11,Tuesday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,imprévue,orage ou intempéries,terminée,Signalement utilisateur,terrain,,0.55,élevé,38.5,1.2,5.16,8.0,True,2024-11-19 08:00:00,8,1,False,longue,56
28,2020-02-06,2020-02-07,07:00,2020-02-07,08:30,90,2020,2,Friday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,incident technique,terminée,Faso Actu,media,https://faso-actu.info/,0.75,faible,29.8,1.6,4.59,1.5,False,2020-02-07 07:00:00,7,4,False,moyenne,56
29,2025-07-18,2025-07-20,08:00,2025-07-20,09:30,90,2025,7,Sunday,matin,Centre-Ouest,,Koudougou,Secteur 5,12.243,-2.365,imprévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,31.8,4.1,5.47,1.5,False,2025-07-20 08:00:00,8,6,True,moyenne,25
30,2023-08-21,2023-08-22,09:00,2023-08-22,14:00,300,2023,8,Tuesday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,incident technique,terminée,Lefaso.net,media,https://lefaso.net/,0.8,élevé,35.9,8.5,4.87,5.0,True,2023-08-22 09:00:00,9,1,False,longue,56
31,2024-12-13,2024-12-13,10:00,2024-12-13,13:00,180,2024,12,Friday,matin,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,travaux,surcharge du réseau,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,31.9,0.0,5.34,3.0,False,2024-12-13 10:00:00,10,4,False,moyenne,56
32,2023-12-11,2023-12-12,10:00,2023-12-12,16:00,360,2023,12,Tuesday,matin,Hauts-Bassins,,Bobo-Dioulasso,Bindougousso,11.189,-4.289,prévue,raccordement nouveaux postes,terminée,Lefaso.net,media,https://lefaso.net/,0.8,élevé,36.0,1.2,5.45,6.0,True,2023-12-12 10:00:00,10,1,False,longue,17
33,2022-07-15,2022-07-16,16:00,2022-07-16,17:30,90,2022,7,Saturday,après-midi,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,prévue,déficit de production,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,40.4,0.5,4.56,1.5,False,2022-07-16 16:00:00,16,5,True,moyenne,31
34,2024-09-26,2024-09-28,09:00,2024-09-28,12:00,180,2024,9,Saturday,matin,Centre-Nord,,Kaya,Secteur 4,13.091,-1.083,perturbation,raccordement nouveaux postes,terminée,Donnée expérimentale,simulation,,0.2,moyen,33.1,2.7,4.87,3.0,False,2024-09-28 09:00:00,9,5,True,moyenne,17
35,2024-09-30,2024-10-03,16:00,2024-10-03,19:00,180,2024,10,Thursday,après-midi,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,perturbation,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,35.9,0.0,5.56,3.0,False,2024-10-03 16:00:00,16,3,False,moyenne,31
36,2020-05-24,2020-05-25,20:30,2020-05-26,00:30,240,2020,5,Monday,soir,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,travaux,surcharge du réseau,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,31.0,5.2,4.58,4.0,True,2020-05-25 20:30:00,20,0,False,moyenne,26
37,2023-04-26,2023-04-29,09:30,2023-04-29,12:30,180,2023,4,Saturday,matin,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,imprévue,travaux entretien réseau,terminée,Signalement utilisateur,terrain,,0.55,moyen,34.2,1.8,5.56,3.0,False,2023-04-29 09:30:00,9,5,True,moyenne,31
38,2024-05-12,2024-05-14,20:00,2024-05-15,00:00,240,2024,5,Tuesday,soir,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,imprévue,déficit de production,terminée,Signalement utilisateur,terrain,,0.55,moyen,39.9,0.0,6.32,4.0,True,2024-05-14 20:00:00,20,1,False,moyenne,31
39,2022-03-24,2022-03-25,07:00,2022-03-25,10:00,180,2022,3,Friday,matin,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,perturbation,incident technique,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,30.5,0.0,5.68,3.0,False,2022-03-25 07:00:00,7,4,False,moyenne,31
40,2021-06-30,2021-07-02,09:00,2021-07-02,14:00,300,2021,7,Friday,matin,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,prévue,orage ou intempéries,terminée,Donnée expérimentale,simulation,,0.2,élevé,31.0,0.0,4.63,5.0,True,2021-07-02 09:00:00,9,4,False,longue,23
41,2024-08-18,2024-08-21,20:00,2024-08-21,23:00,180,2024,8,Wednesday,soir,Centre,Kadiogo,Ouagadougou,Tanghin,12.389,-1.515,imprévue,raccordement nouveaux postes,terminée,Lefaso.net,media,https://lefaso.net/,0.8,moyen,42.5,0.0,5.96,3.0,False,2024-08-21 20:00:00,20,2,False,moyenne,12
42,2024-02-06,2024-02-07,14:30,2024-02-07,22:30,480,2024,2,Wednesday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,prévue,maintenance programmée,terminée,Faso Actu,media,https://faso-actu.info/,0.75,élevé,29.3,3.2,5.98,8.0,True,2024-02-07 14:30:00,14,2,False,longue,19
43,2025-02-05,2025-02-06,20:00,2025-02-07,01:00,300,2025,2,Thursday,soir,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,incident technique,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,33.6,0.0,4.61,5.0,True,2025-02-06 20:00:00,20,3,False,longue,56
44,2022-02-03,2022-02-03,06:00,2022-02-03,08:00,120,2022,2,Thursday,matin,Hauts-Bassins,,Bobo-Dioulasso,Sarfala,11.177,-4.31,prévue,déficit de production,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,30.6,2.0,5.43,2.0,False,2022-02-03 06:00:00,6,3,False,moyenne,16
45,2021-05-21,2021-05-22,09:00,2021-05-22,10:30,90,2021,5,Saturday,matin,Hauts-Bassins,,Bobo-Dioulasso,Bindougousso,11.189,-4.289,imprévue,travaux entretien réseau,terminée,Signalement utilisateur,terrain,,0.55,faible,32.4,0.0,6.64,1.5,False,2021-05-22 09:00:00,9,5,True,moyenne,17
46,2020-02-04,2020-02-07,12:00,2020-02-07,18:00,360,2020,2,Friday,après-midi,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,prévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,39.8,2.4,5.83,6.0,True,2020-02-07 12:00:00,12,4,False,longue,23
47,2022-01-15,2022-01-16,07:00,2022-01-16,15:00,480,2022,1,Sunday,matin,Centre,Kadiogo,Ouagadougou,Dassasgho,12.384,-1.469,prévue,incident technique,terminée,Faso Actu,media,https://faso-actu.info/,0.75,élevé,38.3,0.0,6.34,8.0,True,2022-01-16 07:00:00,7,6,True,longue,13
48,2020-08-05,2020-08-06,20:00,2020-08-07,04:00,480,2020,8,Thursday,soir,Centre,Kadiogo,Ouagadougou,Rayongo,12.318,-1.451,perturbation,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,33.4,0.0,5.4,8.0,True,2020-08-06 20:00:00,20,3,False,longue,6
49,2023-01-06,2023-01-09,09:00,2023-01-09,14:00,300,2023,1,Monday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,imprévue,travaux entretien réseau,terminée,Signalement utilisateur,terrain,,0.55,élevé,37.8,0.0,5.34,5.0,True,2023-01-09 09:00:00,9,0,False,longue,24
50,2022-03-23,2022-03-23,10:00,2022-03-23,16:00,360,2022,3,Wednesday,matin,Centre,Kadiogo,Ouagadougou,Bendogo,12.373,-1.44,prévue,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,31.3,0.8,5.0,6.0,True,2022-03-23 10:00:00,10,2,False,longue,6
51,2021-11-06,2021-11-08,06:00,2021-11-08,14:00,480,2021,11,Monday,matin,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,imprévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,31.7,0.0,4.92,8.0,True,2021-11-08 06:00:00,6,0,False,longue,26
52,2024-02-19,2024-02-19,12:00,2024-02-19,14:00,120,2024,2,Monday,après-midi,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,perturbation,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,moyen,39.1,0.0,5.2,2.0,False,2024-02-19 12:00:00,12,0,False,moyenne,28
53,2026-04-11,2026-04-12,14:00,2026-04-12,18:00,240,2026,4,Sunday,après-midi,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,perturbation,raccordement nouveaux postes,terminée,Donnée expérimentale,simulation,,0.2,moyen,39.7,0.4,4.56,4.0,True,2026-04-12 14:00:00,14,6,True,moyenne,28
54,2022-05-08,2022-05-11,09:30,2022-05-11,12:30,180,2022,5,Wednesday,matin,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,prévue,incident technique,terminée,Donnée expérimentale,simulation,,0.2,moyen,39.8,3.0,5.69,3.0,False,2022-05-11 09:30:00,9,2,False,moyenne,26
55,2020-07-14,2020-07-17,06:00,2020-07-17,08:00,120,2020,7,Friday,matin,Hauts-Bassins,,Bobo-Dioulasso,Bindougousso,11.189,-4.289,prévue,déficit de production,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,moyen,33.6,3.3,6.0,2.0,False,2020-07-17 06:00:00,6,4,False,moyenne,17
56,2023-04-05,2023-04-08,18:00,2023-04-08,22:00,240,2023,4,Saturday,soir,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,perturbation,incident technique,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,moyen,35.5,3.8,6.59,4.0,True,2023-04-08 18:00:00,18,5,True,moyenne,23
57,2022-12-21,2022-12-22,08:00,2022-12-22,13:00,300,2022,12,Thursday,matin,Est,,Fada N'Gourma,Secteur 11,12.056,0.366,perturbation,incident technique,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,40.1,4.4,4.6,5.0,True,2022-12-22 08:00:00,8,3,False,longue,26
58,2023-11-16,2023-11-17,18:00,2023-11-17,19:00,60,2023,11,Friday,soir,Sud-Ouest,,Gaoua,Centre-Ville,10.328,-3.178,prévue,déficit de production,terminée,Signalement utilisateur,terrain,,0.55,faible,36.8,6.9,6.45,1.0,False,2023-11-17 18:00:00,18,4,False,courte,21
59,2023-08-11,2023-08-13,20:00,2023-08-13,21:30,90,2023,8,Sunday,soir,Centre-Nord,,Kaya,Secteur 4,13.091,-1.083,prévue,incident technique,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,32.0,0.0,6.47,1.5,False,2023-08-13 20:00:00,20,6,True,moyenne,17
60,2020-06-16,2020-06-17,12:00,2020-06-17,16:00,240,2020,6,Wednesday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,travaux,travaux entretien réseau,terminée,Signalement utilisateur,terrain,,0.55,moyen,37.7,4.7,6.57,4.0,True,2020-06-17 12:00:00,12,2,False,moyenne,19
61,2025-03-12,2025-03-15,08:30,2025-03-15,09:30,60,2025,3,Saturday,matin,Nord,,Ouahigouya,Secteur 2,13.583,-2.421,prévue,déficit de production,terminée,Signalement utilisateur,terrain,,0.55,faible,36.8,6.0,6.38,1.0,False,2025-03-15 08:30:00,8,5,True,courte,28
62,2021-05-08,2021-05-08,06:00,2021-05-08,08:00,120,2021,5,Saturday,matin,Centre-Nord,,Kaya,Secteur 4,13.091,-1.083,imprévue,travaux entretien réseau,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,41.2,0.0,6.77,2.0,False,2021-05-08 06:00:00,6,5,True,moyenne,17
63,2024-12-07,2024-12-10,14:00,2024-12-10,20:00,360,2024,12,Tuesday,après-midi,Centre,Kadiogo,Ouagadougou,Karpala,12.317,-1.493,perturbation,maintenance programmée,terminée,Signalement utilisateur,terrain,,0.55,élevé,36.9,0.0,5.19,6.0,True,2024-12-10 14:00:00,14,1,False,longue,11
64,2021-08-05,2021-08-05,12:00,2021-08-05,17:00,300,2021,8,Thursday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,prévue,raccordement nouveaux postes,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,29.7,0.0,4.68,5.0,True,2021-08-05 12:00:00,12,3,False,longue,19
65,2022-04-07,2022-04-08,12:30,2022-04-08,16:30,240,2022,4,Friday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,imprévue,surcharge du réseau,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,moyen,32.9,1.5,5.23,4.0,True,2022-04-08 12:30:00,12,4,False,moyenne,19
66,2025-06-01,2025-06-02,09:00,2025-06-02,12:00,180,2025,6,Monday,matin,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,prévue,déficit de production,terminée,Faso Actu,media,https://faso-actu.info/,0.75,moyen,31.6,5.2,6.41,3.0,False,2025-06-02 09:00:00,9,0,False,moyenne,31
67,2025-05-24,2025-05-24,09:00,2025-05-24,10:30,90,2025,5,Saturday,matin,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,perturbation,raccordement nouveaux postes,terminée,Signalement utilisateur,terrain,,0.55,faible,42.6,2.6,6.1,1.5,False,2025-05-24 09:00:00,9,5,True,moyenne,23
68,2025-09-20,2025-09-21,14:30,2025-09-21,20:30,360,2025,9,Sunday,après-midi,Est,,Fada N'Gourma,Secteur 1,12.061,0.359,prévue,travaux entretien réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,39.0,5.1,6.73,6.0,True,2025-09-21 14:30:00,14,6,True,longue,56
69,2024-09-06,2024-09-07,10:30,2024-09-07,18:30,480,2024,9,Saturday,matin,Hauts-Bassins,,Bobo-Dioulasso,Bindougousso,11.189,-4.289,prévue,incident technique,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,32.5,5.1,5.68,8.0,True,2024-09-07 10:30:00,10,5,True,longue,17
70,2022-12-15,2022-12-16,09:00,2022-12-16,10:30,90,2022,12,Friday,matin,Sud-Ouest,,Gaoua,Centre-Ville,10.328,-3.178,prévue,raccordement nouveaux postes,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,faible,31.4,0.0,5.87,1.5,False,2022-12-16 09:00:00,9,4,False,moyenne,21
71,2020-12-08,2020-12-11,16:00,2020-12-11,18:00,120,2020,12,Friday,après-midi,Centre,Kadiogo,Ouagadougou,Tanghin,12.389,-1.515,perturbation,surcharge du réseau,terminée,Donnée expérimentale,simulation,,0.2,moyen,40.0,1.9,6.65,2.0,False,2020-12-11 16:00:00,16,4,False,moyenne,12
72,2024-04-04,2024-04-05,08:30,2024-04-05,14:30,360,2024,4,Friday,matin,Sud-Ouest,,Gaoua,Secteur 3,10.324,-3.19,imprévue,orage ou intempéries,terminée,Wakat Séra,media,https://www.wakatsera.com/?s=SONABEL+coupure,0.8,élevé,31.5,0.0,4.76,6.0,True,2024-04-05 08:30:00,8,4,False,longue,24
73,2023-10-08,2023-10-11,14:00,2023-10-11,20:00,360,2023,10,Wednesday,après-midi,Centre,Kadiogo,Ouagadougou,Tanghin,12.389,-1.515,prévue,orage ou intempéries,terminée,Signalement utilisateur,terrain,,0.55,élevé,39.2,0.0,6.74,6.0,True,2023-10-11 14:00:00,14,2,False,longue,12
74,2025-11-17,2025-11-17,08:00,2025-11-17,16:00,480,2025,11,Monday,matin,Centre-Nord,,Kaya,Secteur 6,13.102,-1.095,imprévue,surcharge du réseau,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,38.2,3.1,6.38,8.0,True,2025-11-17 08:00:00,8,0,False,longue,31
75,2023-03-02,2023-03-04,14:00,2023-03-04,15:00,60,2023,3,Saturday,après-midi,Centre-Nord,,Kaya,Secteur 4,13.091,-1.083,prévue,incident technique,terminée,Signalement utilisateur,terrain,,0.55,faible,32.8,1.1,6.3,1.0,False,2023-03-04 14:00:00,14,5,True,courte,17
76,2024-11-13,2024-11-15,09:00,2024-11-15,14:00,300,2024,11,Friday,matin,Nord,,Ouahigouya,Secteur 10,13.57,-2.41,perturbation,incident technique,terminée,Signalement utilisateur,terrain,,0.55,élevé,38.6,0.0,4.56,5.0,True,2024-11-15 09:00:00,9,4,False,longue,23
77,2021-01-01,2021-01-04,07:30,2021-01-04,15:30,480,2021,1,Monday,matin,Centre-Ouest,,Koudougou,Secteur 1,12.252,-2.363,prévue,maintenance programmée,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,36.4,5.4,4.91,8.0,True,2021-01-04 07:30:00,7,0,False,longue,56
78,2020-11-11,2020-11-12,14:30,2020-11-12,22:30,480,2020,11,Thursday,après-midi,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,prévue,raccordement nouveaux postes,terminée,SONABEL,officielle,https://www.facebook.com/sonabelbf/,1.0,élevé,34.6,2.9,6.73,8.0,True,2020-11-12 14:30:00,14,3,False,longue,19
79,2025-07-13,2025-07-13,09:00,2025-07-13,13:00,240,2025,7,Sunday,matin,Hauts-Bassins,,Bobo-Dioulasso,Accart-Ville,11.172,-4.297,prévue,déficit de production,terminée,Signalement utilisateur,terrain,,0.55,moyen,31.8,0.0,6.1,4.0,True,2025-07-13 09:00:00,9,6,True,moyenne,19
80,2022-03-18,2022-03-20,14:00,2022-03-20,15:30,90,2022,3,Sunday,après-midi,Centre-Nord,,Kaya,Secteur 4,13.091,-1.083,perturbation,orage ou intempéries,terminée,Signalement utilisateur,terrain,,0.55,faible,41.9,2.8,6.08,1.5,False,2022-03-20 14:00:00,14,6,True,moyenne,17
